year,State,pm25,stateLat,stateLong,fultonLat,fultonLong
2008,NC,0.074159918,35.759573,-79.0193,33.79,-84.47
2008,ND,0.006330598,47.551493,-101.002012,33.79,-84.47
2008,NE,0.004532804,41.492537,-99.901813,33.79,-84.47
2008,NH,0.00085864,43.193852,-71.572395,33.79,-84.47
2008,NJ,0.001129228,40.058324,-74.405661,33.79,-84.47
2008,NM,0.000583092,34.97273,-105.032363,33.79,-84.47
2008,NV,0.000121623,38.80261,-116.419389,33.79,-84.47
2008,NY,0.00158155,43.299428,-74.217933,33.79,-84.47
2008,OH,0.060896392,40.417287,-82.907123,33.79,-84.47
2008,OK,0.007699674,35.007752,-97.092877,33.79,-84.47
2008,OR,0.000185043,43.804133,-120.554201,33.79,-84.47
2008,PA,0.046056687,41.203322,-77.194525,33.79,-84.47
2008,SC,0.069928592,33.836081,-81.163725,33.79,-84.47
2008,SD,0.00083754,43.969515,-99.901813,33.79,-84.47
2008,TN,0.092114736,35.517491,-86.580447,33.79,-84.47
2008,TX,0.036262369,31.968599,-99.901813,33.79,-84.47
2008,UT,0.000425218,39.32098,-111.093731,33.79,-84.47
2008,VA,0.018550643,37.431573,-78.656894,33.79,-84.47
2008,WA,0.0000276,47.751074,-120.740139,33.79,-84.47
2008,WI,0.009286376,43.78444,-88.787868,33.79,-84.47
2008,WV,0.029704186,38.597626,-80.454903,33.79,-84.47
2008,WY,0.002549298,43.075968,-107.290284,33.79,-84.47
2009,AL,0.106842971,32.318231,-86.902298,33.79,-84.47
